,Contact Hospital=0,Contact Hospital=1,High Insurance Check=0,High Insurance Check=1,High Medical History=0,High Medical History=1,Low Insurance Check=0,Low Insurance Check=1,Low Medical History=0,Low Medical History=1,Notify by Phone=0,Notify by Phone=1,Notify by Post=0,Notify by Post=1,Notify by e-mail=0,Notify by e-mail=1,Receive Questionnaire Respons=0,Receive Questionnaire Response=0,Send Notification by Phone=0,Send Notification by Phone=1,Send Notification by Post=0,Send Notification by Post=1,Send Notification by e-mail=0,Send Notification by e-mail=1,pr=t
0,0.0,0.02861343411949907,0.0,0.007803790111852452,0.0,0.024151689384269204,0.028828430764819914,0.0,0.028186713178489867,0.0,0.0,-0.07781101721965304,0.0,0.0,-0.010850983963463855,0.0,0.0,0.28755747536391946,0.0,-0.04475770321827688,0.0,0.022490259641152643,0.0,0.0,0
1,-0.03359708478089674,0.0,-0.008190265351914515,0.0,-0.019612449215016915,0.0,0.0,-0.023362470794041985,0.0,-0.018810662955936214,0.0,-0.07434765757653103,0.0,0.0,0.0,0.0,0.0,0.2946250881654269,0.0,-0.04183113623438257,-0.013975656381374824,0.0,-0.011300387676621561,0.0,0
2,-0.032323404344824565,0.0,0.0,0.0,-0.02613505822533035,0.0,0.0,-0.03769358910717133,0.0,-0.0253406149149107,0.06673695469453281,0.0,-0.006031597701663806,0.0,-0.01391429763012168,0.0,0.0,0.28833198769418555,0.044824416964119075,0.0,-0.02161241528586109,0.0,0.0,0.0,0
3,-0.03705347445592069,0.0,-0.007266918950933619,0.0,-0.02593433391797233,0.0,0.0,-0.02937865666103646,0.0,-0.018232998328571278,0.07240789595679155,0.0,0.0,0.0,0.0,0.008099146060191957,0.0,0.2985644673881335,0.04208480913945157,0.0,-0.020147391593515074,0.0,0.0,0.0,0
4,0.0,0.03056320605213577,0.0,0.008689316820912108,0.0,0.019749829813665562,0.02485722280453161,0.0,0.023981906978802273,0.0,0.0,-0.07472371833762921,0.0,0.0,0.0,0.0,0.0,0.2875112155458077,0.0,-0.044588717783804986,0.0,0.02832321871618086,0.0,0.010872019551107939,0
5,0.0,0.030246538762551775,0.0,0.0,0.0,0.024073689547247687,0.02971940579861977,0.0,0.023401794966274064,0.0,0.07151822189164235,0.0,0.0,0.0,-0.013018421752433028,0.0,0.0,0.2865909126534397,0.03892711883459231,0.0,0.0,0.018324339915276627,-0.010369092919578365,0.0,0
6,0.0,0.0315228949770982,0.0,0.013160462667677534,0.0,0.024547901280274013,0.03301980676332024,0.0,0.019588188527894148,0.0,0.08530995631043761,0.0,0.0,0.0,0.0,0.0,0.0,0.2929208978766611,0.04643978733742347,0.0,0.0,0.02070078813240054,0.0,0.01080420780556048,0
7,0.0,0.03779774240063872,0.0,0.0,0.0,0.024319560421960307,0.03261074485442908,0.0,0.018262828752601275,0.0,0.07958165276662445,0.0,0.0,0.009463152690571096,0.0,0.010471895778624106,-0.2825292567455187,0.0,0.04069673578331436,0.0,0.0,0.019401824712765327,0.0,0.0,0
8,-0.028966696907101783,0.0,0.0,0.0,-0.02783624413180431,0.0,0.0,-0.029933600014589803,0.0,-0.015204318574290691,0.0,-0.0782762390108028,-0.012120028275091921,0.0,0.0,0.0,0.0,0.30354353653537103,0.0,-0.05019563073879557,-0.01802441586196786,0.0,0.0,0.01377840868914582,0
9,0.0,0.03278425200540625,0.0,0.011010395239648281,0.0,0.020549259361351983,0.036244299018425186,0.0,0.02644439260438304,0.0,0.07319101579332761,0.0,0.0,0.0,-0.00977223106031855,0.0,-0.2927131034443705,0.0,0.04854298756152201,0.0,0.0,0.026629851489553828,0.0,0.0,0
