,Archive=1,Contact Hospital=0,Contact Hospital=1,Create Questionnaire=1,Decide Claim=1,High Insurance Check=0,High Insurance Check=1,High Medical History=0,High Medical History=1,Low Insurance Check=0,Low Insurance Check=1,Low Medical History=0,Low Medical History=1,Notify by Phone=0,Notify by Phone=1,Notify by Post=0,Notify by Post=1,Notify by e-mail=0,Notify by e-mail=1,Prepare Notification Content=1,Receive Questionnaire Respons=0,Receive Questionnaire Response=0,Register=1,Send Notification by Phone=0,Send Notification by Phone=1,Send Notification by Post=0,Send Notification by Post=1,Send Notification by e-mail=0,Send Notification by e-mail=1,Send Questionnaire=1,Skip Questionnaire=1,pr=t
0,0.0,0.0,0.05598224986554148,0.0,0.0,0.0,0.053164424834662,0.0,0.061898416668373334,0.05183685176721591,0.0,0.0488459629334501,0.0,0.09220635723446152,0.0,0.0,0.05877473974988915,0.0,0.00394631109305663,0.0,-0.3265850229141147,0.0,0.0,0.09762227851186366,0.0,0.0,0.05575575231665257,0.0,0.012226791001949615,0.0,0.0,0
1,0.0,-0.052973102275922,0.0,0.0,0.0,-0.05741292969906988,0.0,-0.04918210523311863,0.0,0.0,-0.05726398236747233,0.0,-0.05975515605431408,0.0,-0.08732111888736263,-0.059731982076543996,0.0,-0.007044701595677057,0.0,0.0,0.0,0.3695135824816972,0.0,0.0,-0.09158971167770014,-0.061117533211973496,0.0,-0.006864855110359224,0.0,0.0,0.0,0
2,0.0,0.0,0.04934634056137361,0.0,0.0,0.0,0.058792197392432737,0.0,0.05999226105013589,0.05030062605899664,0.0,0.05612500843379273,0.0,0.0,-0.09765647647844013,0.0,0.0524018081257937,0.0,0.00010855244146364795,0.0,0.0,0.33993765480205945,0.0,0.0,-0.10350585947477761,0.0,0.04670994243720949,0.0,0.005612143804829391,0.0,0.0,0
3,0.0,-0.059242752850962754,0.0,0.0,0.0,-0.062413183904425684,0.0,-0.06281716291111349,0.0,0.0,-0.05399536069378917,0.0,-0.059918818553240445,0.08699193074063712,0.0,-0.06020111796616041,0.0,-0.006166442548827147,0.0,0.0,0.0,0.3570671212336659,0.0,0.08732710489300641,0.0,-0.061890547992366436,0.0,-0.0034495786774418674,0.0,0.0,0.0,0
4,0.0,0.0,0.05381518231372711,0.0,0.0,0.0,0.05011450765683025,0.0,0.056494954174493524,0.04531475647432381,0.0,0.058916408875413356,0.0,0.10400814658802433,0.0,0.0,0.05476501466622162,-0.008428097258684562,0.0,0.0,-0.3338986852561626,0.0,0.0,0.1048407599494363,0.0,0.0,0.062429259790187965,-0.005376107963674717,0.0,0.0,0.0,0
5,0.0,0.0,0.053643104765788256,0.0,0.0,0.0,0.05767487553737056,0.0,0.05208075766590109,0.05670678303959733,0.0,0.051633255172250134,0.0,0.09030187432978454,0.0,0.0,0.05413992379091304,0.0,0.006828234838984274,0.0,0.0,0.3313602776552016,0.0,0.09838770766937127,0.0,0.0,0.05982617852364571,0.0,0.005858984146085627,0.0,0.0,0
6,0.0,0.0,0.04874656735310521,0.0,0.0,0.0,0.043624175872080506,0.0,0.04531888482919475,0.05397384251940621,0.0,0.0513459552495945,0.0,0.0,-0.10932559510796679,0.0,0.04654897353547489,-0.0021393386838009444,0.0,0.0,0.0,0.34716592373184796,0.0,0.0,-0.10495672450407101,0.0,0.056336007706332125,-0.006888900512230518,0.0,0.0,0.0,0
7,0.0,0.0,0.05072976320798354,0.0,0.0,0.0,0.05183806502198249,0.0,0.06162237321526007,0.05216150828773669,0.0,0.06083497262048344,0.0,0.09610364506088591,0.0,0.0,0.054093836248981064,-0.004555202141181177,0.0,0.0,0.0,0.3420609077728898,0.0,0.09389862298157728,0.0,0.0,0.05993121459186127,-0.007624763514282334,0.0,0.0,0.0,0
8,0.0,-0.05183415654630641,0.0,0.0,0.0,-0.062027276988982506,0.0,-0.061837795994193506,0.0,0.0,-0.06299482912318395,0.0,-0.05877023930042951,0.09044896016505981,0.0,-0.06153183868513303,0.0,0.0,-0.0003875855294872555,0.0,0.0,0.35119382991823084,0.0,0.09036571195592552,0.0,-0.06193002009437902,0.0,0.0,0.0009220561652234631,0.0,0.0,0
9,0.0,-0.05920457669351959,0.0,0.0,0.0,-0.05752942246457465,0.0,-0.06015551522402735,0.0,0.0,-0.052855888720078625,0.0,-0.05522706607947597,0.0,-0.09626567687427436,-0.05927770766240789,0.0,0.0,0.006155686184766154,0.0,0.0,0.3541039391088818,0.0,0.0,-0.09239327471722204,-0.05219306825706211,0.0,0.0,0.0022470138558068954,0.0,0.0,0
